Country,Year,Owner,Species,Variety,Color,Production_Bag,KG_x_Bag,Total_Production,Score_Aroma,Score_Flavor,Score_Aftertaste,Score_Acidity,Score_Body,Score_Balance,Score_Uniformity,Score_Sweetness,Score_Moisture,Score_Total
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,25,69.0,1725.0,7.42,7.58,7.42,7.67,7.5,7.5,10.0,10.0,0.1,82.75
Indonesia,2017,sanjava coffee,Arabica,Sulawesi,Blue-Green,2,1.0,2.0,7.5,7.58,7.42,7.58,7.58,7.5,10.0,10.0,0.12,82.75
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,25,69.0,1725.0,7.58,7.58,7.33,7.58,7.33,7.67,10.0,10.0,0.12,82.75
Honduras,2017,bismarck castro,Arabica,Caturra,Green,275,69.0,18975.0,7.58,7.5,7.42,7.58,7.5,7.5,10.0,10.0,0.09,82.75
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,25,69.0,1725.0,7.5,7.42,7.42,7.75,7.5,7.5,10.0,10.0,0.1,82.58
Indonesia,2017,sanjava coffee,Arabica,Other,Green,2,1.0,2.0,7.83,7.75,7.25,7.5,7.42,7.33,10.0,10.0,0.11,82.5
Honduras,2017,elsy reyes,Arabica,Caturra,Green,275,69.0,18975.0,7.58,7.58,7.33,7.5,7.5,7.5,10.0,10.0,0.1,82.5
Honduras,2017,brian beck,Arabica,Other,Green,1,2.0,2.0,7.42,7.67,7.17,7.58,7.58,7.5,10.0,10.0,0.12,82.42
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,50,69.0,3450.0,7.58,7.5,7.33,7.75,7.33,7.5,10.0,10.0,0.1,82.42
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,20,69.0,1380.0,7.58,7.5,7.25,7.67,7.5,7.5,10.0,10.0,0.12,82.42
Honduras,2017,bismarck castro,Arabica,Caturra,Green,275,69.0,18975.0,7.5,7.58,7.33,7.5,7.42,7.42,10.0,10.0,0.1,82.33
Indonesia,2017,sanjava coffee,Arabica,Bourbon,Unknown,2,1.0,2.0,7.5,7.5,7.42,7.42,7.5,7.42,10.0,10.0,0.15,82.08
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,25,69.0,1725.0,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10.0,0.1,81.92
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,50,69.0,3450.0,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,0.11,81.92
Honduras,2017,bismarck castro,Arabica,Caturra,Green,274,67.0,18358.0,7.58,7.5,7.25,7.33,7.42,7.5,10.0,10.0,0.12,81.92
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,25,69.0,1725.0,7.42,7.5,7.25,7.5,7.33,7.42,10.0,10.0,0.1,81.83
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,50,69.0,3450.0,7.5,7.5,7.25,7.42,7.42,7.33,10.0,10.0,0.11,81.75
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,50,69.0,3450.0,7.42,7.42,7.08,7.42,7.33,7.42,10.0,10.0,0.1,81.67
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,80,69.0,5520.0,7.42,7.33,7.17,7.67,7.33,7.42,10.0,10.0,0.12,81.67
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,25,69.0,1725.0,7.42,7.42,7.08,7.5,7.42,7.33,10.0,10.0,0.12,81.58
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,50,69.0,3450.0,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10.0,0.1,81.5
Nicaragua,2017,"exportadora atlantic, s.a.",Arabica,Caturra,Green,550,69.0,37950.0,7.5,7.42,7.33,7.33,7.25,7.33,10.0,10.0,0.11,81.5
Honduras,2017,elsy reyes,Arabica,Caturra,Green,275,69.0,18975.0,7.5,7.5,7.33,7.42,7.17,7.25,10.0,10.0,0.1,81.5
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,50,69.0,3450.0,7.5,7.42,7.25,7.25,7.5,7.25,10.0,10.0,0.12,81.5
Mexico,2017,cafes tomari sa de cv,Arabica,Mundo Novo,Green,200,69.0,13800.0,7.58,7.33,7.08,7.33,7.5,7.33,10.0,10.0,0.12,81.42
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,25,69.0,1725.0,7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,0.1,80.92
Kenya,2017,lydiah mwangi,Arabica,SL28,Green,150,60.0,9000.0,7.17,7.58,7.5,7.5,8.0,7.75,10.0,10.0,0.11,80.92
Mexico,2017,grupo santab s.a de c.v.,Arabica,Bourbon,Green,240,69.0,16560.0,7.5,7.33,7.17,7.42,7.5,7.33,9.33,10.0,0.11,80.92
Guatemala,2017,juan luis alvarado romero,Arabica,Caturra,Green,275,69.0,18975.0,7.33,7.25,7.08,7.17,7.25,7.17,10.0,10.0,0.1,80.5
Honduras,2017,janny marlith torres,Arabica,Catuai,Green,15,69.0,1035.0,7.58,7.33,7.0,7.17,7.33,7.08,10.0,10.0,0.11,80.5
Vietnam,2017,"sunvirtue co., ltd.",Arabica,Catimor,Unknown,1,2.0,2.0,7.42,7.25,7.25,7.58,7.42,7.33,8.67,10.0,0.0,80.17
Nicaragua,2017,"comercial internacional exportadora, s.a.",Arabica,Caturra,Green,275,69.0,18975.0,7.33,7.08,6.92,7.08,7.42,7.17,10.0,10.0,0.1,80.0
Kenya,2017,kennedy macharia,Arabica,SL34,Unknown,200,60.0,12000.0,7.0,7.08,7.0,7.17,7.25,7.25,10.0,10.0,0.11,79.83
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,50,69.0,3450.0,7.33,7.25,6.92,7.33,7.25,7.33,9.33,10.0,0.1,79.83
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,50,69.0,3450.0,7.33,7.42,7.33,7.42,7.5,7.42,8.67,9.33,0.1,79.17
Honduras,2017,janny marlith torres,Arabica,Catuai,Green,15,69.0,1035.0,7.58,7.0,6.75,6.92,7.0,6.92,10.0,10.0,0.11,79.17
Guatemala,2017,juan luis alvarado romero,Arabica,Bourbon,Green,50,69.0,3450.0,7.58,7.67,7.42,7.42,7.67,7.67,8.67,8.67,0.1,79.08
Honduras,2017,bismarck castro,Arabica,Caturra,Green,275,69.0,18975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
India,2017,nishant gurjer,Robusta,,Unknown,320,60.0,19200.0,8.0,7.75,7.92,8.0,7.92,7.92,10.0,8.0,0.0,83.5
India,2017,nishant gurjer,Robusta,,Bluish-Green,320,60.0,19200.0,7.67,7.75,7.83,7.67,7.92,7.83,10.0,7.92,0.1,82.5
Honduras,2018,mdh,Arabica,Catimor,Blue-Green,275,69.0,18975.0,7.5,7.42,7.08,7.42,7.5,7.33,10.0,10.0,0.11,81.58
